Altium Designer Pick and Place Locations
C:\Users\George Salagiannis\Documents\PhD\Projects\PREDATE\Schematics\PREDATE_Ground_Station_V3_0\Project Outputs for PREDATE_Ground_Station_V3_0\Pick Place\Pick Place for PREDATE_Ground_Station_PCB_V3_0.txt

========================================================================================================================
File Design Information:

Date:       01/07/23
Time:       10:34
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                      Layer       Footprint              Center-X(mil) Center-Y(mil) Rotation Description                                     
R43        3k                           TopLayer    R0805                  165.354       5029.528      90       "Res Thin Film 0805 3K Ohm 1% 1/8W ±50ppm/°C M" 
R42        3k                           TopLayer    R0805                  57.858        4952.756      90       "Res Thin Film 0805 3K Ohm 1% 1/8W ±50ppm/°C M" 
D4         S1M-HF                       TopLayer    DO-214AC               176.135       4800.009      270      "General Purpose Rectifier 1000V1A SMA (DO-214" 
CON6       881545-1                     TopLayer    Con1x02_2.54_Jump      66.929        4731.102      180      "NOVO Female Straight Black Handle, Open Top 2" 
PCB2       "Uart to Ethernet Converter" TopLayer    UART2ETH               8142.914      2749.213      90       "The 2-CH UART TO ETH provides an easy way to"  
C27        0.1uF/25V                    BottomLayer C0402                  7749.508      1118.110      180      "Multilayer Ceramic 25V 0.1uF X7R 0402 10%"     
C26        2.2uF/25V                    BottomLayer C0402                  7749.508      1062.992      180      "Ceramic 2.2UF 25V 20% 0402"                    
CON5       M20-8770646                  TopLayer    Con1x06_2.54           4872.126      2150.000      180      "2.54MM M20 SMT Connectors 06 Sil Vertical SMT" 
R2         TBD                          BottomLayer R0402                  618.110       6177.165      360      ""                                              
R1         10K                          BottomLayer R0402                  887.710       6149.606      360      "Res General Purpose Thick Film 0402 10K Ohm 1" 
SD1        4682                         TopLayer    SD_Board               7358.780      870.000       180      "adafruit_microsd_spi_sdio 3V only"             
R41        0R                           TopLayer    R0402                  7338.583      1106.299      90       "AC Series 0402 0 Ohm JUMPER Thick Film Chip R" 
R40        0R                           TopLayer    R0402                  7460.630      1342.520      270      "AC Series 0402 0 Ohm JUMPER Thick Film Chip R" 
R39        0R                           TopLayer    R0402                  7555.118      1106.299      90       "AC Series 0402 0 Ohm JUMPER Thick Film Chip R" 
