Altium Designer Pick and Place Locations
C:\Users\George Salagiannis\Documents\PhD\Projects\PREDATE\Schematics\PREDATE_inDrone_Top_V2_0\Project Outputs for PREDATE_inDrone_Top_V2_0\Pick Place\Pick Place for PREDATE_inDrone_Top_V2_0.txt

========================================================================================================================
File Design Information:

Date:       01/07/23
Time:       11:34
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                      Layer       Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                                                         
PCB1       Comment                      TopLayer    ADUM3221ARZ_Breakout       3501.722      9095.866      360      Description                                                                                                         
PCB3       Comment                      Mechanical1 TP-Link_MC220L             2836.362      8054.169      360      "Gigabit SFP to RJ45 Fiber Media Converter"                                                                         
R68        3k                           TopLayer    0805_3k                    6263.779      5439.474      0        ""                                                                                                                  
CON3       22-28-4024                   TopLayer    Con1x02_2.54               8580.512      5224.409      270      "Breakaway Header; KK 254; Vertical; 2 Circuit"                                                                     
CON2       22-28-4024                   TopLayer    Con1x02_2.54               7316.929      4761.024      180      "Breakaway Header; KK 254; Vertical; 2 Circuit"                                                                     
C43        270pF/2kV                    BottomLayer C1206                      7901.575      4192.913      90       "1206 HV 270pF Ceramic Multilayer Cap; 2000Vdc"                                                                     
C40        270pF/2kV                    BottomLayer C1206                      7425.197      4025.590      90       "1206 HV 270pF Ceramic Multilayer Cap; 2000Vdc"                                                                     
R70        715R                         TopLayer    R0603                      8599.409      5086.614      360      "Res Thin Film 0603 715 Ohm 1% 1/10W ±50ppm/°C"                                                                     
PS5        PQP3-D12-D9-D                TopLayer    DIP-5                      8442.720      4627.448      90       "9/-9 Vdc, 0.167/-0.167 A, 3 W, 9~18 Vdc Input"                                                                     
LED7       150080GS75000                TopLayer    L0805                      8411.417      5083.661      360      "Led, Green, 520 Nm, 3.2 V, 30 Ma, 450 Mcd Roh"                                                                     
MCU1       STM32F407G-DISC1             TopLayer    STM32F407G-DISC1           7205.315      7185.827      90       "STM32F407VGT6 Microcontroller Development Kit"                                                                     
